Element Index,Addition Cost,Copy Cost,Total Cost,Amortized Cost
648,1,0,1671,2.5787037037
649,1,0,1672,2.5762711864
650,1,0,1673,2.5738461538
651,1,0,1674,2.5714285714
652,1,0,1675,2.5690184049
653,1,0,1676,2.5666156202
654,1,0,1677,2.5642201835
655,1,0,1678,2.5618320611
656,1,0,1679,2.5594512195
657,1,0,1680,2.5570776256
658,1,0,1681,2.5547112462
659,1,0,1682,2.5523520486
660,1,0,1683,2.5500000000
661,1,0,1684,2.5476550681
662,1,0,1685,2.5453172205
663,1,0,1686,2.5429864253
664,1,0,1687,2.5406626506
665,1,0,1688,2.5383458647
666,1,0,1689,2.5360360360
667,1,0,1690,2.5337331334
668,1,0,1691,2.5314371257
669,1,0,1692,2.5291479821
670,1,0,1693,2.5268656716
671,1,0,1694,2.5245901639
672,1,0,1695,2.5223214286
673,1,0,1696,2.5200594354
674,1,0,1697,2.5178041543
675,1,0,1698,2.5155555556
676,1,0,1699,2.5133136095
677,1,0,1700,2.5110782866
678,1,0,1701,2.5088495575
679,1,0,1702,2.5066273932
680,1,0,1703,2.5044117647
681,1,0,1704,2.5022026432
682,1,0,1705,2.5000000000
683,1,0,1706,2.4978038067
684,1,0,1707,2.4956140351
685,1,0,1708,2.4934306569
686,1,0,1709,2.4912536443
687,1,0,1710,2.4890829694
688,1,0,1711,2.4869186047
689,1,0,1712,2.4847605225
690,1,0,1713,2.4826086957
691,1,0,1714,2.4804630970
692,1,0,1715,2.4783236994
693,1,0,1716,2.4761904762
694,1,0,1717,2.4740634006
695,1,0,1718,2.4719424460
696,1,0,1719,2.4698275862
697,1,0,1720,2.4677187948
698,1,0,1721,2.4656160458
699,1,0,1722,2.4635193133
700,1,0,1723,2.4614285714
701,1,0,1724,2.4593437946
702,1,0,1725,2.4572649573
703,1,0,1726,2.4551920341
704,1,0,1727,2.4531250000
705,1,0,1728,2.4510638298
706,1,0,1729,2.4490084986
707,1,0,1730,2.4469589816
708,1,0,1731,2.4449152542
709,1,0,1732,2.4428772920
710,1,0,1733,2.4408450704
711,1,0,1734,2.4388185654
712,1,0,1735,2.4367977528
713,1,0,1736,2.4347826087
714,1,0,1737,2.4327731092
715,1,0,1738,2.4307692308
716,1,0,1739,2.4287709497
717,1,0,1740,2.4267782427
718,1,0,1741,2.4247910864
719,1,0,1742,2.4228094576
720,1,0,1743,2.4208333333
721,1,0,1744,2.4188626907
722,1,0,1745,2.4168975069
723,1,0,1746,2.4149377593
724,1,0,1747,2.4129834254
